file,arch,label,build target (valid if label is build_dir)
drivers/clk/sunxi/clk-sun9i-core.c,x86_64,cant_build,
drivers/clk/sunxi/clk-usb.c,x86_64,cant_build,
drivers/clk/tegra/clk-pll.c,x86_64,cant_build,
drivers/clk/tegra/clk-tegra210.c,x86_64,cant_build,
drivers/clk/tegra/clk-tegra210.c,arm,cant_build,
drivers/clk/ti/clk-54xx.c,x86_64,cant_build,
drivers/clk/zynqmp/pll.c,x86_64,cant_build,
drivers/clk/zynqmp/pll.c,arm,cant_build,
drivers/clocksource/arm_arch_timer.c,x86_64,cant_build,
drivers/clocksource/dw_apb_timer_of.c,x86_64,cant_build,
drivers/clocksource/hyperv_timer.c,arm,cant_build,
drivers/clocksource/timer-atmel-tcb.c,x86_64,cant_build,
drivers/clocksource/timer-ti-dm-systimer.c,x86_64,cant_build,
drivers/clocksource/timer-vf-pit.c,x86_64,cant_build,
drivers/counter/104-quad-8.c,arm,cant_build,
drivers/cpufreq/acpi-cpufreq.c,arm,cant_build,
drivers/cpufreq/armada-37xx-cpufreq.c,x86_64,cant_build,
drivers/cpufreq/cppc_cpufreq.c,x86_64,cant_build,
drivers/cpufreq/cppc_cpufreq.c,arm,cant_build,
drivers/cpufreq/cpufreq.c,arm,builds,
drivers/cpufreq/ia64-acpi-cpufreq.c,x86_64,cant_build,
drivers/cpufreq/ia64-acpi-cpufreq.c,arm,cant_build,
drivers/cpufreq/intel_pstate.c,arm,cant_build,
drivers/cpufreq/s5pv210-cpufreq.c,x86_64,cant_build,
drivers/cpufreq/scmi-cpufreq.c,x86_64,cant_build,
drivers/cpuidle/cpuidle-tegra.c,x86_64,cant_build,
drivers/crypto/allwinner/sun4i-ss/sun4i-ss-cipher.c,x86_64,cant_build,
drivers/crypto/allwinner/sun4i-ss/sun4i-ss-core.c,x86_64,cant_build,
drivers/crypto/allwinner/sun4i-ss/sun4i-ss-hash.c,x86_64,cant_build,
drivers/crypto/allwinner/sun4i-ss/sun4i-ss-prng.c,x86_64,cant_build,
drivers/crypto/amcc/crypto4xx_alg.c,x86_64,cant_build,
drivers/crypto/amcc/crypto4xx_alg.c,arm,cant_build,
drivers/crypto/amcc/crypto4xx_core.c,x86_64,cant_build,
